Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01011393,Leeds 103C,-8,Does not apply,0
E01011393,Leeds 103C,1,Household is not deprived in any dimension,544
E01011393,Leeds 103C,2,Household is deprived in one dimension,255
E01011393,Leeds 103C,3,Household is deprived in two dimensions,90
E01011393,Leeds 103C,4,Household is deprived in three dimensions,18
E01011393,Leeds 103C,5,Household is deprived in four dimensions,1
E01011394,Leeds 103D,-8,Does not apply,0
E01011394,Leeds 103D,1,Household is not deprived in any dimension,239
E01011394,Leeds 103D,2,Household is deprived in one dimension,176
E01011394,Leeds 103D,3,Household is deprived in two dimensions,64
E01011394,Leeds 103D,4,Household is deprived in three dimensions,14
E01011394,Leeds 103D,5,Household is deprived in four dimensions,0
E01011395,Leeds 103E,-8,Does not apply,0
E01011395,Leeds 103E,1,Household is not deprived in any dimension,264
E01011395,Leeds 103E,2,Household is deprived in one dimension,130
E01011395,Leeds 103E,3,Household is deprived in two dimensions,51
E01011395,Leeds 103E,4,Household is deprived in three dimensions,19
E01011395,Leeds 103E,5,Household is deprived in four dimensions,1
E01011396,Leeds 074A,-8,Does not apply,0
E01011396,Leeds 074A,1,Household is not deprived in any dimension,497
E01011396,Leeds 074A,2,Household is deprived in one dimension,257
E01011396,Leeds 074A,3,Household is deprived in two dimensions,112
E01011396,Leeds 074A,4,Household is deprived in three dimensions,28
E01011396,Leeds 074A,5,Household is deprived in four dimensions,1
E01011397,Leeds 077A,-8,Does not apply,0
E01011397,Leeds 077A,1,Household is not deprived in any dimension,346
E01011397,Leeds 077A,2,Household is deprived in one dimension,187
E01011397,Leeds 077A,3,Household is deprived in two dimensions,63
E01011397,Leeds 077A,4,Household is deprived in three dimensions,11
E01011397,Leeds 077A,5,Household is deprived in four dimensions,0
E01011398,Leeds 077B,-8,Does not apply,0
E01011398,Leeds 077B,1,Household is not deprived in any dimension,311
E01011398,Leeds 077B,2,Household is deprived in one dimension,142
E01011398,Leeds 077B,3,Household is deprived in two dimensions,34
E01011398,Leeds 077B,4,Household is deprived in three dimensions,5
E01011398,Leeds 077B,5,Household is deprived in four dimensions,0
E01011399,Leeds 074B,-8,Does not apply,0
E01011399,Leeds 074B,1,Household is not deprived in any dimension,329
E01011399,Leeds 074B,2,Household is deprived in one dimension,205
E01011399,Leeds 074B,3,Household is deprived in two dimensions,74
E01011399,Leeds 074B,4,Household is deprived in three dimensions,13
E01011399,Leeds 074B,5,Household is deprived in four dimensions,1
E01011400,Leeds 074C,-8,Does not apply,0
E01011400,Leeds 074C,1,Household is not deprived in any dimension,291
E01011400,Leeds 074C,2,Household is deprived in one dimension,205
E01011400,Leeds 074C,3,Household is deprived in two dimensions,79
E01011400,Leeds 074C,4,Household is deprived in three dimensions,29
E01011400,Leeds 074C,5,Household is deprived in four dimensions,0
E01011401,Leeds 077C,-8,Does not apply,0
E01011401,Leeds 077C,1,Household is not deprived in any dimension,440
E01011401,Leeds 077C,2,Household is deprived in one dimension,195
E01011401,Leeds 077C,3,Household is deprived in two dimensions,70
E01011401,Leeds 077C,4,Household is deprived in three dimensions,7
E01011401,Leeds 077C,5,Household is deprived in four dimensions,0
E01011402,Leeds 087D,-8,Does not apply,0
E01011402,Leeds 087D,1,Household is not deprived in any dimension,455
E01011402,Leeds 087D,2,Household is deprived in one dimension,297
E01011402,Leeds 087D,3,Household is deprived in two dimensions,117
E01011402,Leeds 087D,4,Household is deprived in three dimensions,15
E01011402,Leeds 087D,5,Household is deprived in four dimensions,1
E01011403,Leeds 074D,-8,Does not apply,0
E01011403,Leeds 074D,1,Household is not deprived in any dimension,322
E01011403,Leeds 074D,2,Household is deprived in one dimension,252
E01011403,Leeds 074D,3,Household is deprived in two dimensions,85
E01011403,Leeds 074D,4,Household is deprived in three dimensions,12
E01011403,Leeds 074D,5,Household is deprived in four dimensions,0
E01011404,Leeds 077D,-8,Does not apply,0
E01011404,Leeds 077D,1,Household is not deprived in any dimension,297
E01011404,Leeds 077D,2,Household is deprived in one dimension,187
E01011404,Leeds 077D,3,Household is deprived in two dimensions,54
E01011404,Leeds 077D,4,Household is deprived in three dimensions,6
E01011404,Leeds 077D,5,Household is deprived in four dimensions,0
E01011405,Leeds 077E,-8,Does not apply,0
E01011405,Leeds 077E,1,Household is not deprived in any dimension,332
E01011405,Leeds 077E,2,Household is deprived in one dimension,242
E01011405,Leeds 077E,3,Household is deprived in two dimensions,73
E01011405,Leeds 077E,4,Household is deprived in three dimensions,10
E01011405,Leeds 077E,5,Household is deprived in four dimensions,0
E01011406,Leeds 057A,-8,Does not apply,0
E01011406,Leeds 057A,1,Household is not deprived in any dimension,331
E01011406,Leeds 057A,2,Household is deprived in one dimension,185
E01011406,Leeds 057A,3,Household is deprived in two dimensions,61
E01011406,Leeds 057A,4,Household is deprived in three dimensions,9
E01011406,Leeds 057A,5,Household is deprived in four dimensions,1
E01011407,Leeds 057B,-8,Does not apply,0
E01011407,Leeds 057B,1,Household is not deprived in any dimension,317
E01011407,Leeds 057B,2,Household is deprived in one dimension,238
E01011407,Leeds 057B,3,Household is deprived in two dimensions,94
E01011407,Leeds 057B,4,Household is deprived in three dimensions,11
E01011407,Leeds 057B,5,Household is deprived in four dimensions,2
E01011408,Leeds 057C,-8,Does not apply,0
E01011408,Leeds 057C,1,Household is not deprived in any dimension,322
E01011408,Leeds 057C,2,Household is deprived in one dimension,304
E01011408,Leeds 057C,3,Household is deprived in two dimensions,121
E01011408,Leeds 057C,4,Household is deprived in three dimensions,18
E01011408,Leeds 057C,5,Household is deprived in four dimensions,1
E01011409,Leeds 057D,-8,Does not apply,0
E01011409,Leeds 057D,1,Household is not deprived in any dimension,349
E01011409,Leeds 057D,2,Household is deprived in one dimension,188
E01011409,Leeds 057D,3,Household is deprived in two dimensions,96
E01011409,Leeds 057D,4,Household is deprived in three dimensions,24
E01011409,Leeds 057D,5,Household is deprived in four dimensions,4
E01011410,Leeds 057E,-8,Does not apply,0
E01011410,Leeds 057E,1,Household is not deprived in any dimension,394
E01011410,Leeds 057E,2,Household is deprived in one dimension,262
E01011410,Leeds 057E,3,Household is deprived in two dimensions,101
E01011410,Leeds 057E,4,Household is deprived in three dimensions,17
E01011410,Leeds 057E,5,Household is deprived in four dimensions,3
E01011411,Leeds 073A,-8,Does not apply,0
E01011411,Leeds 073A,1,Household is not deprived in any dimension,458
E01011411,Leeds 073A,2,Household is deprived in one dimension,215
E01011411,Leeds 073A,3,Household is deprived in two dimensions,52
E01011411,Leeds 073A,4,Household is deprived in three dimensions,8
E01011411,Leeds 073A,5,Household is deprived in four dimensions,0
E01011412,Leeds 057F,-8,Does not apply,0
E01011412,Leeds 057F,1,Household is not deprived in any dimension,437
E01011412,Leeds 057F,2,Household is deprived in one dimension,254
E01011412,Leeds 057F,3,Household is deprived in two dimensions,96
E01011412,Leeds 057F,4,Household is deprived in three dimensions,9
E01011412,Leeds 057F,5,Household is deprived in four dimensions,0
E01011413,Leeds 069A,-8,Does not apply,0
E01011413,Leeds 069A,1,Household is not deprived in any dimension,349
E01011413,Leeds 069A,2,Household is deprived in one dimension,179
E01011413,Leeds 069A,3,Household is deprived in two dimensions,59
E01011413,Leeds 069A,4,Household is deprived in three dimensions,7
E01011413,Leeds 069A,5,Household is deprived in four dimensions,0
E01011414,Leeds 073B,-8,Does not apply,0
E01011414,Leeds 073B,1,Household is not deprived in any dimension,383
E01011414,Leeds 073B,2,Household is deprived in one dimension,199
E01011414,Leeds 073B,3,Household is deprived in two dimensions,51
E01011414,Leeds 073B,4,Household is deprived in three dimensions,11
E01011414,Leeds 073B,5,Household is deprived in four dimensions,0
E01011415,Leeds 069B,-8,Does not apply,0
E01011415,Leeds 069B,1,Household is not deprived in any dimension,402
E01011415,Leeds 069B,2,Household is deprived in one dimension,239
E01011415,Leeds 069B,3,Household is deprived in two dimensions,78
E01011415,Leeds 069B,4,Household is deprived in three dimensions,12
E01011415,Leeds 069B,5,Household is deprived in four dimensions,2
E01011416,Leeds 069C,-8,Does not apply,0
E01011416,Leeds 069C,1,Household is not deprived in any dimension,316
E01011416,Leeds 069C,2,Household is deprived in one dimension,212
E01011416,Leeds 069C,3,Household is deprived in two dimensions,77
E01011416,Leeds 069C,4,Household is deprived in three dimensions,11
E01011416,Leeds 069C,5,Household is deprived in four dimensions,0
E01011417,Leeds 069D,-8,Does not apply,0
E01011417,Leeds 069D,1,Household is not deprived in any dimension,322
E01011417,Leeds 069D,2,Household is deprived in one dimension,272
E01011417,Leeds 069D,3,Household is deprived in two dimensions,128
E01011417,Leeds 069D,4,Household is deprived in three dimensions,17
E01011417,Leeds 069D,5,Household is deprived in four dimensions,0
E01011418,Leeds 073C,-8,Does not apply,0
E01011418,Leeds 073C,1,Household is not deprived in any dimension,378
E01011418,Leeds 073C,2,Household is deprived in one dimension,188
E01011418,Leeds 073C,3,Household is deprived in two dimensions,56
E01011418,Leeds 073C,4,Household is deprived in three dimensions,3
E01011418,Leeds 073C,5,Household is deprived in four dimensions,0
E01011419,Leeds 073D,-8,Does not apply,0
E01011419,Leeds 073D,1,Household is not deprived in any dimension,291
E01011419,Leeds 073D,2,Household is deprived in one dimension,161
E01011419,Leeds 073D,3,Household is deprived in two dimensions,41
E01011419,Leeds 073D,4,Household is deprived in three dimensions,3
E01011419,Leeds 073D,5,Household is deprived in four dimensions,0
E01011420,Leeds 069E,-8,Does not apply,0
E01011420,Leeds 069E,1,Household is not deprived in any dimension,304
E01011420,Leeds 069E,2,Household is deprived in one dimension,240
E01011420,Leeds 069E,3,Household is deprived in two dimensions,77
E01011420,Leeds 069E,4,Household is deprived in three dimensions,8
E01011420,Leeds 069E,5,Household is deprived in four dimensions,0
E01011421,Leeds 040A,-8,Does not apply,0
E01011421,Leeds 040A,1,Household is not deprived in any dimension,220
E01011421,Leeds 040A,2,Household is deprived in one dimension,219
E01011421,Leeds 040A,3,Household is deprived in two dimensions,121
E01011421,Leeds 040A,4,Household is deprived in three dimensions,38
E01011421,Leeds 040A,5,Household is deprived in four dimensions,3
E01011422,Leeds 048A,-8,Does not apply,0
E01011422,Leeds 048A,1,Household is not deprived in any dimension,213
E01011422,Leeds 048A,2,Household is deprived in one dimension,196
E01011422,Leeds 048A,3,Household is deprived in two dimensions,108
E01011422,Leeds 048A,4,Household is deprived in three dimensions,31
E01011422,Leeds 048A,5,Household is deprived in four dimensions,0
E01011423,Leeds 047A,-8,Does not apply,0
E01011423,Leeds 047A,1,Household is not deprived in any dimension,230
E01011423,Leeds 047A,2,Household is deprived in one dimension,228
E01011423,Leeds 047A,3,Household is deprived in two dimensions,114
E01011423,Leeds 047A,4,Household is deprived in three dimensions,29
E01011423,Leeds 047A,5,Household is deprived in four dimensions,6
E01011424,Leeds 047B,-8,Does not apply,0
E01011424,Leeds 047B,1,Household is not deprived in any dimension,225
E01011424,Leeds 047B,2,Household is deprived in one dimension,200
E01011424,Leeds 047B,3,Household is deprived in two dimensions,107
E01011424,Leeds 047B,4,Household is deprived in three dimensions,40
E01011424,Leeds 047B,5,Household is deprived in four dimensions,3
E01011425,Leeds 040B,-8,Does not apply,0
E01011425,Leeds 040B,1,Household is not deprived in any dimension,309
E01011425,Leeds 040B,2,Household is deprived in one dimension,194
E01011425,Leeds 040B,3,Household is deprived in two dimensions,83
E01011425,Leeds 040B,4,Household is deprived in three dimensions,15
E01011425,Leeds 040B,5,Household is deprived in four dimensions,4
E01011426,Leeds 048B,-8,Does not apply,0
E01011426,Leeds 048B,1,Household is not deprived in any dimension,170
E01011426,Leeds 048B,2,Household is deprived in one dimension,181
E01011426,Leeds 048B,3,Household is deprived in two dimensions,107
E01011426,Leeds 048B,4,Household is deprived in three dimensions,37
E01011426,Leeds 048B,5,Household is deprived in four dimensions,1
E01011427,Leeds 047C,-8,Does not apply,0
E01011427,Leeds 047C,1,Household is not deprived in any dimension,137
E01011427,Leeds 047C,2,Household is deprived in one dimension,219
E01011427,Leeds 047C,3,Household is deprived in two dimensions,153
E01011427,Leeds 047C,4,Household is deprived in three dimensions,64
E01011427,Leeds 047C,5,Household is deprived in four dimensions,7
E01011428,Leeds 048C,-8,Does not apply,0
E01011428,Leeds 048C,1,Household is not deprived in any dimension,201
E01011428,Leeds 048C,2,Household is deprived in one dimension,241
E01011428,Leeds 048C,3,Household is deprived in two dimensions,154
E01011428,Leeds 048C,4,Household is deprived in three dimensions,45
E01011428,Leeds 048C,5,Household is deprived in four dimensions,6
E01011429,Leeds 048D,-8,Does not apply,0
E01011429,Leeds 048D,1,Household is not deprived in any dimension,245
E01011429,Leeds 048D,2,Household is deprived in one dimension,269
E01011429,Leeds 048D,3,Household is deprived in two dimensions,166
E01011429,Leeds 048D,4,Household is deprived in three dimensions,57
E01011429,Leeds 048D,5,Household is deprived in four dimensions,1
E01011430,Leeds 053A,-8,Does not apply,0
E01011430,Leeds 053A,1,Household is not deprived in any dimension,139
E01011430,Leeds 053A,2,Household is deprived in one dimension,209
E01011430,Leeds 053A,3,Household is deprived in two dimensions,104
E01011430,Leeds 053A,4,Household is deprived in three dimensions,30
E01011430,Leeds 053A,5,Household is deprived in four dimensions,4
E01011431,Leeds 047D,-8,Does not apply,0
E01011431,Leeds 047D,1,Household is not deprived in any dimension,250
E01011431,Leeds 047D,2,Household is deprived in one dimension,265
E01011431,Leeds 047D,3,Household is deprived in two dimensions,216
E01011431,Leeds 047D,4,Household is deprived in three dimensions,95
E01011431,Leeds 047D,5,Household is deprived in four dimensions,5
E01011432,Leeds 053B,-8,Does not apply,0
E01011432,Leeds 053B,1,Household is not deprived in any dimension,128
E01011432,Leeds 053B,2,Household is deprived in one dimension,232
E01011432,Leeds 053B,3,Household is deprived in two dimensions,159
E01011432,Leeds 053B,4,Household is deprived in three dimensions,40
E01011432,Leeds 053B,5,Household is deprived in four dimensions,9
E01011433,Leeds 053C,-8,Does not apply,0
E01011433,Leeds 053C,1,Household is not deprived in any dimension,170
E01011433,Leeds 053C,2,Household is deprived in one dimension,299
E01011433,Leeds 053C,3,Household is deprived in two dimensions,154
E01011433,Leeds 053C,4,Household is deprived in three dimensions,55
E01011433,Leeds 053C,5,Household is deprived in four dimensions,13
E01011434,Leeds 053D,-8,Does not apply,0
E01011434,Leeds 053D,1,Household is not deprived in any dimension,183
E01011434,Leeds 053D,2,Household is deprived in one dimension,256
E01011434,Leeds 053D,3,Household is deprived in two dimensions,174
E01011434,Leeds 053D,4,Household is deprived in three dimensions,42
E01011434,Leeds 053D,5,Household is deprived in four dimensions,4
E01011435,Leeds 044A,-8,Does not apply,0
E01011435,Leeds 044A,1,Household is not deprived in any dimension,307
E01011435,Leeds 044A,2,Household is deprived in one dimension,213
E01011435,Leeds 044A,3,Household is deprived in two dimensions,74
E01011435,Leeds 044A,4,Household is deprived in three dimensions,11
E01011435,Leeds 044A,5,Household is deprived in four dimensions,0
E01011440,Leeds 044D,-8,Does not apply,0
E01011440,Leeds 044D,1,Household is not deprived in any dimension,339
E01011440,Leeds 044D,2,Household is deprived in one dimension,220
E01011440,Leeds 044D,3,Household is deprived in two dimensions,75
E01011440,Leeds 044D,4,Household is deprived in three dimensions,26
E01011440,Leeds 044D,5,Household is deprived in four dimensions,2
E01011441,Leeds 044E,-8,Does not apply,0
E01011441,Leeds 044E,1,Household is not deprived in any dimension,316
E01011441,Leeds 044E,2,Household is deprived in one dimension,258
E01011441,Leeds 044E,3,Household is deprived in two dimensions,91
E01011441,Leeds 044E,4,Household is deprived in three dimensions,21
E01011441,Leeds 044E,5,Household is deprived in four dimensions,2
E01011442,Leeds 110A,-8,Does not apply,0
E01011442,Leeds 110A,1,Household is not deprived in any dimension,308
E01011442,Leeds 110A,2,Household is deprived in one dimension,213
E01011442,Leeds 110A,3,Household is deprived in two dimensions,90
E01011442,Leeds 110A,4,Household is deprived in three dimensions,12
E01011442,Leeds 110A,5,Household is deprived in four dimensions,1
E01011443,Leeds 110B,-8,Does not apply,0
E01011443,Leeds 110B,1,Household is not deprived in any dimension,321
E01011443,Leeds 110B,2,Household is deprived in one dimension,281
E01011443,Leeds 110B,3,Household is deprived in two dimensions,84
E01011443,Leeds 110B,4,Household is deprived in three dimensions,27
E01011443,Leeds 110B,5,Household is deprived in four dimensions,5
E01011444,Leeds 110C,-8,Does not apply,0
E01011444,Leeds 110C,1,Household is not deprived in any dimension,244
E01011444,Leeds 110C,2,Household is deprived in one dimension,262
E01011444,Leeds 110C,3,Household is deprived in two dimensions,105
E01011444,Leeds 110C,4,Household is deprived in three dimensions,13
E01011444,Leeds 110C,5,Household is deprived in four dimensions,1
E01011445,Leeds 054A,-8,Does not apply,0
E01011445,Leeds 054A,1,Household is not deprived in any dimension,204
E01011445,Leeds 054A,2,Household is deprived in one dimension,197
E01011445,Leeds 054A,3,Household is deprived in two dimensions,66
E01011445,Leeds 054A,4,Household is deprived in three dimensions,7
E01011445,Leeds 054A,5,Household is deprived in four dimensions,0
E01011446,Leeds 054B,-8,Does not apply,0
E01011446,Leeds 054B,1,Household is not deprived in any dimension,218
E01011446,Leeds 054B,2,Household is deprived in one dimension,209
E01011446,Leeds 054B,3,Household is deprived in two dimensions,74
E01011446,Leeds 054B,4,Household is deprived in three dimensions,10
E01011446,Leeds 054B,5,Household is deprived in four dimensions,0
E01011447,Leeds 054C,-8,Does not apply,0
E01011447,Leeds 054C,1,Household is not deprived in any dimension,191
E01011447,Leeds 054C,2,Household is deprived in one dimension,158
E01011447,Leeds 054C,3,Household is deprived in two dimensions,67
E01011447,Leeds 054C,4,Household is deprived in three dimensions,13
E01011447,Leeds 054C,5,Household is deprived in four dimensions,1
E01011448,Leeds 054D,-8,Does not apply,0
E01011448,Leeds 054D,1,Household is not deprived in any dimension,163
E01011448,Leeds 054D,2,Household is deprived in one dimension,197
E01011448,Leeds 054D,3,Household is deprived in two dimensions,98
E01011448,Leeds 054D,4,Household is deprived in three dimensions,19
E01011448,Leeds 054D,5,Household is deprived in four dimensions,2
E01011449,Leeds 054E,-8,Does not apply,0
E01011449,Leeds 054E,1,Household is not deprived in any dimension,275
E01011449,Leeds 054E,2,Household is deprived in one dimension,245
E01011449,Leeds 054E,3,Household is deprived in two dimensions,79
E01011449,Leeds 054E,4,Household is deprived in three dimensions,13
E01011449,Leeds 054E,5,Household is deprived in four dimensions,1
E01011450,Leeds 038D,-8,Does not apply,0
E01011450,Leeds 038D,1,Household is not deprived in any dimension,247
E01011450,Leeds 038D,2,Household is deprived in one dimension,157
E01011450,Leeds 038D,3,Household is deprived in two dimensions,79
E01011450,Leeds 038D,4,Household is deprived in three dimensions,38
E01011450,Leeds 038D,5,Household is deprived in four dimensions,0
E01011451,Leeds 110D,-8,Does not apply,0
E01011451,Leeds 110D,1,Household is not deprived in any dimension,292
E01011451,Leeds 110D,2,Household is deprived in one dimension,162
E01011451,Leeds 110D,3,Household is deprived in two dimensions,55
E01011451,Leeds 110D,4,Household is deprived in three dimensions,14
E01011451,Leeds 110D,5,Household is deprived in four dimensions,3
E01011452,Leeds 027A,-8,Does not apply,0
E01011452,Leeds 027A,1,Household is not deprived in any dimension,447
E01011452,Leeds 027A,2,Household is deprived in one dimension,169
E01011452,Leeds 027A,3,Household is deprived in two dimensions,38
E01011452,Leeds 027A,4,Household is deprived in three dimensions,5
E01011452,Leeds 027A,5,Household is deprived in four dimensions,0
E01011453,Leeds 028A,-8,Does not apply,0
E01011453,Leeds 028A,1,Household is not deprived in any dimension,411
E01011453,Leeds 028A,2,Household is deprived in one dimension,222
E01011453,Leeds 028A,3,Household is deprived in two dimensions,68
E01011453,Leeds 028A,4,Household is deprived in three dimensions,6
E01011453,Leeds 028A,5,Household is deprived in four dimensions,0
E01011454,Leeds 027B,-8,Does not apply,0
E01011454,Leeds 027B,1,Household is not deprived in any dimension,477
E01011454,Leeds 027B,2,Household is deprived in one dimension,173
E01011454,Leeds 027B,3,Household is deprived in two dimensions,32
E01011454,Leeds 027B,4,Household is deprived in three dimensions,4
E01011454,Leeds 027B,5,Household is deprived in four dimensions,0
E01011455,Leeds 021A,-8,Does not apply,0
E01011455,Leeds 021A,1,Household is not deprived in any dimension,306
E01011455,Leeds 021A,2,Household is deprived in one dimension,140
E01011455,Leeds 021A,3,Household is deprived in two dimensions,28
E01011455,Leeds 021A,4,Household is deprived in three dimensions,4
E01011455,Leeds 021A,5,Household is deprived in four dimensions,0
E01011456,Leeds 021B,-8,Does not apply,0
E01011456,Leeds 021B,1,Household is not deprived in any dimension,407
E01011456,Leeds 021B,2,Household is deprived in one dimension,219
E01011456,Leeds 021B,3,Household is deprived in two dimensions,42
E01011456,Leeds 021B,4,Household is deprived in three dimensions,3
E01011456,Leeds 021B,5,Household is deprived in four dimensions,0
E01011457,Leeds 027C,-8,Does not apply,0
E01011457,Leeds 027C,1,Household is not deprived in any dimension,408
E01011457,Leeds 027C,2,Household is deprived in one dimension,167
E01011457,Leeds 027C,3,Household is deprived in two dimensions,35
E01011457,Leeds 027C,4,Household is deprived in three dimensions,6
E01011457,Leeds 027C,5,Household is deprived in four dimensions,0
E01011458,Leeds 027D,-8,Does not apply,0
E01011458,Leeds 027D,1,Household is not deprived in any dimension,753
E01011458,Leeds 027D,2,Household is deprived in one dimension,219
E01011458,Leeds 027D,3,Household is deprived in two dimensions,40
E01011458,Leeds 027D,4,Household is deprived in three dimensions,7
E01011458,Leeds 027D,5,Household is deprived in four dimensions,2
E01011459,Leeds 021C,-8,Does not apply,0
E01011459,Leeds 021C,1,Household is not deprived in any dimension,443
E01011459,Leeds 021C,2,Household is deprived in one dimension,245
E01011459,Leeds 021C,3,Household is deprived in two dimensions,69
E01011459,Leeds 021C,4,Household is deprived in three dimensions,11
E01011459,Leeds 021C,5,Household is deprived in four dimensions,1
E01011460,Leeds 028B,-8,Does not apply,0
E01011460,Leeds 028B,1,Household is not deprived in any dimension,373
E01011460,Leeds 028B,2,Household is deprived in one dimension,194
E01011460,Leeds 028B,3,Household is deprived in two dimensions,68
E01011460,Leeds 028B,4,Household is deprived in three dimensions,17
E01011460,Leeds 028B,5,Household is deprived in four dimensions,2
E01011461,Leeds 021D,-8,Does not apply,0
E01011461,Leeds 021D,1,Household is not deprived in any dimension,381
E01011461,Leeds 021D,2,Household is deprived in one dimension,179
E01011461,Leeds 021D,3,Household is deprived in two dimensions,49
E01011461,Leeds 021D,4,Household is deprived in three dimensions,4
E01011461,Leeds 021D,5,Household is deprived in four dimensions,0
E01011462,Leeds 028C,-8,Does not apply,0
E01011462,Leeds 028C,1,Household is not deprived in any dimension,353
E01011462,Leeds 028C,2,Household is deprived in one dimension,229
E01011462,Leeds 028C,3,Household is deprived in two dimensions,116
E01011462,Leeds 028C,4,Household is deprived in three dimensions,28
E01011462,Leeds 028C,5,Household is deprived in four dimensions,0
E01011463,Leeds 028D,-8,Does not apply,0
E01011463,Leeds 028D,1,Household is not deprived in any dimension,313
E01011463,Leeds 028D,2,Household is deprived in one dimension,265
E01011463,Leeds 028D,3,Household is deprived in two dimensions,120
E01011463,Leeds 028D,4,Household is deprived in three dimensions,52
E01011463,Leeds 028D,5,Household is deprived in four dimensions,7
E01011464,Leeds 028E,-8,Does not apply,0
E01011464,Leeds 028E,1,Household is not deprived in any dimension,581
E01011464,Leeds 028E,2,Household is deprived in one dimension,228
E01011464,Leeds 028E,3,Household is deprived in two dimensions,81
E01011464,Leeds 028E,4,Household is deprived in three dimensions,9
E01011464,Leeds 028E,5,Household is deprived in four dimensions,1
E01011465,Leeds 027E,-8,Does not apply,0
E01011465,Leeds 027E,1,Household is not deprived in any dimension,459
E01011465,Leeds 027E,2,Household is deprived in one dimension,233
E01011465,Leeds 027E,3,Household is deprived in two dimensions,113
E01011465,Leeds 027E,4,Household is deprived in three dimensions,29
E01011465,Leeds 027E,5,Household is deprived in four dimensions,2
E01011466,Leeds 094A,-8,Does not apply,0
E01011466,Leeds 094A,1,Household is not deprived in any dimension,225
E01011466,Leeds 094A,2,Household is deprived in one dimension,227
E01011466,Leeds 094A,3,Household is deprived in two dimensions,120
E01011466,Leeds 094A,4,Household is deprived in three dimensions,62
E01011466,Leeds 094A,5,Household is deprived in four dimensions,4
E01011467,Leeds 112A,-8,Does not apply,0
E01011467,Leeds 112A,1,Household is not deprived in any dimension,392
E01011467,Leeds 112A,2,Household is deprived in one dimension,255
E01011467,Leeds 112A,3,Household is deprived in two dimensions,126
E01011467,Leeds 112A,4,Household is deprived in three dimensions,41
E01011467,Leeds 112A,5,Household is deprived in four dimensions,1
E01011468,Leeds 112B,-8,Does not apply,0
E01011468,Leeds 112B,1,Household is not deprived in any dimension,375
E01011468,Leeds 112B,2,Household is deprived in one dimension,284
E01011468,Leeds 112B,3,Household is deprived in two dimensions,177
E01011468,Leeds 112B,4,Household is deprived in three dimensions,76
E01011468,Leeds 112B,5,Household is deprived in four dimensions,6
E01011469,Leeds 094B,-8,Does not apply,0
E01011469,Leeds 094B,1,Household is not deprived in any dimension,272
E01011469,Leeds 094B,2,Household is deprived in one dimension,245
E01011469,Leeds 094B,3,Household is deprived in two dimensions,94
E01011469,Leeds 094B,4,Household is deprived in three dimensions,19
E01011469,Leeds 094B,5,Household is deprived in four dimensions,0
E01011470,Leeds 112C,-8,Does not apply,0
E01011470,Leeds 112C,1,Household is not deprived in any dimension,219
E01011470,Leeds 112C,2,Household is deprived in one dimension,215
E01011470,Leeds 112C,3,Household is deprived in two dimensions,122
E01011470,Leeds 112C,4,Household is deprived in three dimensions,41
E01011470,Leeds 112C,5,Household is deprived in four dimensions,2
E01011471,Leeds 092A,-8,Does not apply,0
E01011471,Leeds 092A,1,Household is not deprived in any dimension,180
E01011471,Leeds 092A,2,Household is deprived in one dimension,249
E01011471,Leeds 092A,3,Household is deprived in two dimensions,151
E01011471,Leeds 092A,4,Household is deprived in three dimensions,77
E01011471,Leeds 092A,5,Household is deprived in four dimensions,3
E01011472,Leeds 092B,-8,Does not apply,0
E01011472,Leeds 092B,1,Household is not deprived in any dimension,208
E01011472,Leeds 092B,2,Household is deprived in one dimension,250
E01011472,Leeds 092B,3,Household is deprived in two dimensions,172
E01011472,Leeds 092B,4,Household is deprived in three dimensions,81
E01011472,Leeds 092B,5,Household is deprived in four dimensions,3
E01011473,Leeds 092C,-8,Does not apply,0
E01011473,Leeds 092C,1,Household is not deprived in any dimension,191
E01011473,Leeds 092C,2,Household is deprived in one dimension,205
E01011473,Leeds 092C,3,Household is deprived in two dimensions,157
E01011473,Leeds 092C,4,Household is deprived in three dimensions,56
E01011473,Leeds 092C,5,Household is deprived in four dimensions,5
E01011474,Leeds 092D,-8,Does not apply,0
E01011474,Leeds 092D,1,Household is not deprived in any dimension,203
E01011474,Leeds 092D,2,Household is deprived in one dimension,256
E01011474,Leeds 092D,3,Household is deprived in two dimensions,130
E01011474,Leeds 092D,4,Household is deprived in three dimensions,65
E01011474,Leeds 092D,5,Household is deprived in four dimensions,3
E01011475,Leeds 094C,-8,Does not apply,0
E01011475,Leeds 094C,1,Household is not deprived in any dimension,201
E01011475,Leeds 094C,2,Household is deprived in one dimension,270
E01011475,Leeds 094C,3,Household is deprived in two dimensions,165
E01011475,Leeds 094C,4,Household is deprived in three dimensions,58
E01011475,Leeds 094C,5,Household is deprived in four dimensions,3
E01011476,Leeds 094D,-8,Does not apply,0
E01011476,Leeds 094D,1,Household is not deprived in any dimension,161
E01011476,Leeds 094D,2,Household is deprived in one dimension,170
E01011476,Leeds 094D,3,Household is deprived in two dimensions,117
E01011476,Leeds 094D,4,Household is deprived in three dimensions,41
E01011476,Leeds 094D,5,Household is deprived in four dimensions,3
E01011477,Leeds 045A,-8,Does not apply,0
E01011477,Leeds 045A,1,Household is not deprived in any dimension,443
E01011477,Leeds 045A,2,Household is deprived in one dimension,262
