Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01011279,Leeds 008C,5,Household is deprived in four dimensions,1
E01011280,Leeds 008D,-8,Does not apply,0
E01011280,Leeds 008D,1,Household is not deprived in any dimension,525
E01011280,Leeds 008D,2,Household is deprived in one dimension,249
E01011280,Leeds 008D,3,Household is deprived in two dimensions,60
E01011280,Leeds 008D,4,Household is deprived in three dimensions,8
E01011280,Leeds 008D,5,Household is deprived in four dimensions,0
E01011281,Leeds 059A,-8,Does not apply,0
E01011281,Leeds 059A,1,Household is not deprived in any dimension,417
E01011281,Leeds 059A,2,Household is deprived in one dimension,286
E01011281,Leeds 059A,3,Household is deprived in two dimensions,144
E01011281,Leeds 059A,4,Household is deprived in three dimensions,51
E01011281,Leeds 059A,5,Household is deprived in four dimensions,4
E01011282,Leeds 059B,-8,Does not apply,0
E01011282,Leeds 059B,1,Household is not deprived in any dimension,242
E01011282,Leeds 059B,2,Household is deprived in one dimension,197
E01011282,Leeds 059B,3,Household is deprived in two dimensions,132
E01011282,Leeds 059B,4,Household is deprived in three dimensions,41
E01011282,Leeds 059B,5,Household is deprived in four dimensions,4
E01011283,Leeds 059C,-8,Does not apply,0
E01011283,Leeds 059C,1,Household is not deprived in any dimension,230
E01011283,Leeds 059C,2,Household is deprived in one dimension,225
E01011283,Leeds 059C,3,Household is deprived in two dimensions,128
E01011283,Leeds 059C,4,Household is deprived in three dimensions,49
E01011283,Leeds 059C,5,Household is deprived in four dimensions,2
E01011284,Leeds 071A,-8,Does not apply,0
E01011284,Leeds 071A,1,Household is not deprived in any dimension,501
E01011284,Leeds 071A,2,Household is deprived in one dimension,351
E01011284,Leeds 071A,3,Household is deprived in two dimensions,160
E01011284,Leeds 071A,4,Household is deprived in three dimensions,72
E01011284,Leeds 071A,5,Household is deprived in four dimensions,7
E01011286,Leeds 059D,-8,Does not apply,0
E01011286,Leeds 059D,1,Household is not deprived in any dimension,296
E01011286,Leeds 059D,2,Household is deprived in one dimension,202
E01011286,Leeds 059D,3,Household is deprived in two dimensions,71
E01011286,Leeds 059D,4,Household is deprived in three dimensions,16
E01011286,Leeds 059D,5,Household is deprived in four dimensions,1
E01011287,Leeds 067B,-8,Does not apply,0
E01011287,Leeds 067B,1,Household is not deprived in any dimension,307
