Middle layer Super Output Areas Code,Middle layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E02002346,Leeds 017,1,Household is not deprived in any dimension,1271
E02002346,Leeds 017,2,Household is deprived in one dimension,937
E02002346,Leeds 017,3,Household is deprived in two dimensions,426
E02002346,Leeds 017,4,Household is deprived in three dimensions,152
E02002346,Leeds 017,5,Household is deprived in four dimensions,4
E02002347,Leeds 018,-8,Does not apply,0
E02002347,Leeds 018,1,Household is not deprived in any dimension,1065
E02002347,Leeds 018,2,Household is deprived in one dimension,963
E02002347,Leeds 018,3,Household is deprived in two dimensions,556
E02002347,Leeds 018,4,Household is deprived in three dimensions,165
E02002347,Leeds 018,5,Household is deprived in four dimensions,6
E02002348,Leeds 019,-8,Does not apply,0
E02002348,Leeds 019,1,Household is not deprived in any dimension,1351
E02002348,Leeds 019,2,Household is deprived in one dimension,944
E02002348,Leeds 019,3,Household is deprived in two dimensions,434
E02002348,Leeds 019,4,Household is deprived in three dimensions,126
E02002348,Leeds 019,5,Household is deprived in four dimensions,7
E02002349,Leeds 020,-8,Does not apply,0
E02002349,Leeds 020,1,Household is not deprived in any dimension,1584
E02002349,Leeds 020,2,Household is deprived in one dimension,758
E02002349,Leeds 020,3,Household is deprived in two dimensions,207
E02002349,Leeds 020,4,Household is deprived in three dimensions,45
E02002349,Leeds 020,5,Household is deprived in four dimensions,4
E02002350,Leeds 021,-8,Does not apply,0
E02002350,Leeds 021,1,Household is not deprived in any dimension,1537
E02002350,Leeds 021,2,Household is deprived in one dimension,784
E02002350,Leeds 021,3,Household is deprived in two dimensions,187
E02002350,Leeds 021,4,Household is deprived in three dimensions,22
E02002350,Leeds 021,5,Household is deprived in four dimensions,1
E02002351,Leeds 022,-8,Does not apply,0
E02002351,Leeds 022,1,Household is not deprived in any dimension,1396
E02002351,Leeds 022,2,Household is deprived in one dimension,742
E02002351,Leeds 022,3,Household is deprived in two dimensions,193
E02002351,Leeds 022,4,Household is deprived in three dimensions,20
E02002351,Leeds 022,5,Household is deprived in four dimensions,1
E02002352,Leeds 023,-8,Does not apply,0
E02002352,Leeds 023,1,Household is not deprived in any dimension,1886
E02002352,Leeds 023,2,Household is deprived in one dimension,971
E02002352,Leeds 023,3,Household is deprived in two dimensions,313
E02002352,Leeds 023,4,Household is deprived in three dimensions,44
E02002352,Leeds 023,5,Household is deprived in four dimensions,2
E02002353,Leeds 024,-8,Does not apply,0
E02002353,Leeds 024,1,Household is not deprived in any dimension,1425
E02002353,Leeds 024,2,Household is deprived in one dimension,657
E02002353,Leeds 024,3,Household is deprived in two dimensions,187
E02002353,Leeds 024,4,Household is deprived in three dimensions,46
E02002353,Leeds 024,5,Household is deprived in four dimensions,3
E02002354,Leeds 025,-8,Does not apply,0
E02002354,Leeds 025,1,Household is not deprived in any dimension,1698
E02002354,Leeds 025,2,Household is deprived in one dimension,1011
E02002354,Leeds 025,3,Household is deprived in two dimensions,471
E02002354,Leeds 025,4,Household is deprived in three dimensions,136
E02002354,Leeds 025,5,Household is deprived in four dimensions,6
E02002356,Leeds 027,-8,Does not apply,0
E02002356,Leeds 027,1,Household is not deprived in any dimension,2543
E02002356,Leeds 027,2,Household is deprived in one dimension,961
E02002356,Leeds 027,3,Household is deprived in two dimensions,259
E02002356,Leeds 027,4,Household is deprived in three dimensions,51
E02002356,Leeds 027,5,Household is deprived in four dimensions,4
E02002357,Leeds 028,-8,Does not apply,0
E02002357,Leeds 028,1,Household is not deprived in any dimension,2028
E02002357,Leeds 028,2,Household is deprived in one dimension,1140
E02002357,Leeds 028,3,Household is deprived in two dimensions,455
E02002357,Leeds 028,4,Household is deprived in three dimensions,111
E02002357,Leeds 028,5,Household is deprived in four dimensions,11
E02002358,Leeds 029,-8,Does not apply,0
E02002358,Leeds 029,1,Household is not deprived in any dimension,1775
E02002358,Leeds 029,2,Household is deprived in one dimension,1126
E02002358,Leeds 029,3,Household is deprived in two dimensions,564
E02002358,Leeds 029,4,Household is deprived in three dimensions,167
E02002358,Leeds 029,5,Household is deprived in four dimensions,6
E02002359,Leeds 030,-8,Does not apply,0
E02002359,Leeds 030,1,Household is not deprived in any dimension,1586
E02002359,Leeds 030,2,Household is deprived in one dimension,970
E02002359,Leeds 030,3,Household is deprived in two dimensions,260
