Middle layer Super Output Areas Code,Middle layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E02002416,Leeds 087,2,Household is deprived in one dimension,988
E02002416,Leeds 087,3,Household is deprived in two dimensions,497
E02002416,Leeds 087,4,Household is deprived in three dimensions,111
E02002416,Leeds 087,5,Household is deprived in four dimensions,2
E02002417,Leeds 088,-8,Does not apply,0
E02002417,Leeds 088,1,Household is not deprived in any dimension,1624
E02002417,Leeds 088,2,Household is deprived in one dimension,1006
E02002417,Leeds 088,3,Household is deprived in two dimensions,421
E02002417,Leeds 088,4,Household is deprived in three dimensions,87
E02002417,Leeds 088,5,Household is deprived in four dimensions,6
E02002418,Leeds 089,-8,Does not apply,0
E02002418,Leeds 089,1,Household is not deprived in any dimension,1529
E02002418,Leeds 089,2,Household is deprived in one dimension,991
E02002418,Leeds 089,3,Household is deprived in two dimensions,447
E02002418,Leeds 089,4,Household is deprived in three dimensions,99
E02002418,Leeds 089,5,Household is deprived in four dimensions,6
E02002419,Leeds 090,-8,Does not apply,0
E02002419,Leeds 090,1,Household is not deprived in any dimension,1297
E02002419,Leeds 090,2,Household is deprived in one dimension,1315
E02002419,Leeds 090,3,Household is deprived in two dimensions,735
E02002419,Leeds 090,4,Household is deprived in three dimensions,229
E02002419,Leeds 090,5,Household is deprived in four dimensions,11
E02002420,Leeds 091,-8,Does not apply,0
E02002420,Leeds 091,1,Household is not deprived in any dimension,1435
E02002420,Leeds 091,2,Household is deprived in one dimension,1213
E02002420,Leeds 091,3,Household is deprived in two dimensions,536
E02002420,Leeds 091,4,Household is deprived in three dimensions,122
E02002420,Leeds 091,5,Household is deprived in four dimensions,13
E02002421,Leeds 092,-8,Does not apply,0
E02002421,Leeds 092,1,Household is not deprived in any dimension,782
E02002421,Leeds 092,2,Household is deprived in one dimension,959
E02002421,Leeds 092,3,Household is deprived in two dimensions,611
E02002421,Leeds 092,4,Household is deprived in three dimensions,279
E02002421,Leeds 092,5,Household is deprived in four dimensions,16
E02002422,Leeds 093,-8,Does not apply,0
E02002422,Leeds 093,1,Household is not deprived in any dimension,1584
E02002422,Leeds 093,2,Household is deprived in one dimension,882
E02002422,Leeds 093,3,Household is deprived in two dimensions,301
E02002422,Leeds 093,4,Household is deprived in three dimensions,49
E02002422,Leeds 093,5,Household is deprived in four dimensions,1
E02002423,Leeds 094,-8,Does not apply,0
E02002423,Leeds 094,1,Household is not deprived in any dimension,864
E02002423,Leeds 094,2,Household is deprived in one dimension,912
E02002423,Leeds 094,3,Household is deprived in two dimensions,496
E02002423,Leeds 094,4,Household is deprived in three dimensions,180
E02002423,Leeds 094,5,Household is deprived in four dimensions,10
E02002424,Leeds 095,-8,Does not apply,0
E02002424,Leeds 095,1,Household is not deprived in any dimension,1647
E02002424,Leeds 095,2,Household is deprived in one dimension,1029
E02002424,Leeds 095,3,Household is deprived in two dimensions,486
E02002424,Leeds 095,4,Household is deprived in three dimensions,126
E02002424,Leeds 095,5,Household is deprived in four dimensions,5
E02002425,Leeds 096,-8,Does not apply,0
E02002425,Leeds 096,1,Household is not deprived in any dimension,1998
E02002425,Leeds 096,2,Household is deprived in one dimension,1241
E02002425,Leeds 096,3,Household is deprived in two dimensions,480
E02002425,Leeds 096,4,Household is deprived in three dimensions,118
E02002425,Leeds 096,5,Household is deprived in four dimensions,7
E02002426,Leeds 097,-8,Does not apply,0
E02002426,Leeds 097,1,Household is not deprived in any dimension,1789
E02002426,Leeds 097,2,Household is deprived in one dimension,1028
E02002426,Leeds 097,3,Household is deprived in two dimensions,402
E02002426,Leeds 097,4,Household is deprived in three dimensions,113
E02002426,Leeds 097,5,Household is deprived in four dimensions,6
E02002427,Leeds 098,-8,Does not apply,0
E02002427,Leeds 098,1,Household is not deprived in any dimension,1366
E02002427,Leeds 098,2,Household is deprived in one dimension,1020
E02002427,Leeds 098,3,Household is deprived in two dimensions,523
E02002427,Leeds 098,4,Household is deprived in three dimensions,115
E02002427,Leeds 098,5,Household is deprived in four dimensions,8
E02002428,Leeds 099,-8,Does not apply,0
E02002428,Leeds 099,1,Household is not deprived in any dimension,1558
E02002428,Leeds 099,2,Household is deprived in one dimension,1126
E02002428,Leeds 099,3,Household is deprived in two dimensions,568
E02002428,Leeds 099,4,Household is deprived in three dimensions,154
E02002428,Leeds 099,5,Household is deprived in four dimensions,10
E02002429,Leeds 100,-8,Does not apply,0
E02002429,Leeds 100,1,Household is not deprived in any dimension,1908
E02002429,Leeds 100,2,Household is deprived in one dimension,1191
E02002429,Leeds 100,3,Household is deprived in two dimensions,444
E02002429,Leeds 100,4,Household is deprived in three dimensions,107
E02002429,Leeds 100,5,Household is deprived in four dimensions,5
E02002430,Leeds 101,-8,Does not apply,0
E02002430,Leeds 101,1,Household is not deprived in any dimension,1077
E02002430,Leeds 101,2,Household is deprived in one dimension,1169
E02002430,Leeds 101,3,Household is deprived in two dimensions,708
E02002430,Leeds 101,4,Household is deprived in three dimensions,274
E02002430,Leeds 101,5,Household is deprived in four dimensions,13
E02002431,Leeds 102,-8,Does not apply,0
E02002431,Leeds 102,1,Household is not deprived in any dimension,2052
E02002431,Leeds 102,2,Household is deprived in one dimension,1219
E02002431,Leeds 102,3,Household is deprived in two dimensions,529
E02002431,Leeds 102,4,Household is deprived in three dimensions,177
E02002431,Leeds 102,5,Household is deprived in four dimensions,13
E02002432,Leeds 103,-8,Does not apply,0
E02002432,Leeds 103,1,Household is not deprived in any dimension,1642
E02002432,Leeds 103,2,Household is deprived in one dimension,1024
E02002432,Leeds 103,3,Household is deprived in two dimensions,418
E02002432,Leeds 103,4,Household is deprived in three dimensions,86
E02002432,Leeds 103,5,Household is deprived in four dimensions,4
E02002433,Leeds 104,-8,Does not apply,0
E02002433,Leeds 104,1,Household is not deprived in any dimension,1592
E02002433,Leeds 104,2,Household is deprived in one dimension,1198
E02002433,Leeds 104,3,Household is deprived in two dimensions,584
E02002433,Leeds 104,4,Household is deprived in three dimensions,154
E02002433,Leeds 104,5,Household is deprived in four dimensions,8
E02002434,Leeds 105,-8,Does not apply,0
E02002434,Leeds 105,1,Household is not deprived in any dimension,2300
E02002434,Leeds 105,2,Household is deprived in one dimension,1231
E02002434,Leeds 105,3,Household is deprived in two dimensions,478
E02002434,Leeds 105,4,Household is deprived in three dimensions,93
E02002434,Leeds 105,5,Household is deprived in four dimensions,7
E02002435,Leeds 106,-8,Does not apply,0
E02002435,Leeds 106,1,Household is not deprived in any dimension,1953
E02002435,Leeds 106,2,Household is deprived in one dimension,1163
E02002435,Leeds 106,3,Household is deprived in two dimensions,438
E02002435,Leeds 106,4,Household is deprived in three dimensions,81
E02002435,Leeds 106,5,Household is deprived in four dimensions,4
E02002436,Leeds 107,-8,Does not apply,0
E02002436,Leeds 107,1,Household is not deprived in any dimension,1410
E02002436,Leeds 107,2,Household is deprived in one dimension,945
E02002436,Leeds 107,3,Household is deprived in two dimensions,473
E02002436,Leeds 107,4,Household is deprived in three dimensions,149
E02002436,Leeds 107,5,Household is deprived in four dimensions,11
E02002437,Leeds 108,-8,Does not apply,0
E02002437,Leeds 108,1,Household is not deprived in any dimension,1466
E02002437,Leeds 108,2,Household is deprived in one dimension,779
E02002437,Leeds 108,3,Household is deprived in two dimensions,230
E02002437,Leeds 108,4,Household is deprived in three dimensions,42
E02002437,Leeds 108,5,Household is deprived in four dimensions,2
E02006852,Leeds 109,-8,Does not apply,0
E02006852,Leeds 109,1,Household is not deprived in any dimension,3113
E02006852,Leeds 109,2,Household is deprived in one dimension,1387
E02006852,Leeds 109,3,Household is deprived in two dimensions,365
E02006852,Leeds 109,4,Household is deprived in three dimensions,61
E02006852,Leeds 109,5,Household is deprived in four dimensions,7
E02006861,Leeds 110,-8,Does not apply,0
E02006861,Leeds 110,1,Household is not deprived in any dimension,2157
E02006861,Leeds 110,2,Household is deprived in one dimension,1576
E02006861,Leeds 110,3,Household is deprived in two dimensions,599
E02006861,Leeds 110,4,Household is deprived in three dimensions,106
E02006861,Leeds 110,5,Household is deprived in four dimensions,11
E02006875,Leeds 111,-8,Does not apply,0
E02006875,Leeds 111,1,Household is not deprived in any dimension,2324
E02006875,Leeds 111,2,Household is deprived in one dimension,1158
E02006875,Leeds 111,3,Household is deprived in two dimensions,214
E02006875,Leeds 111,4,Household is deprived in three dimensions,44
E02006875,Leeds 111,5,Household is deprived in four dimensions,4
E02006876,Leeds 112,-8,Does not apply,0
E02006876,Leeds 112,1,Household is not deprived in any dimension,2038
E02006876,Leeds 112,2,Household is deprived in one dimension,1029
E02006876,Leeds 112,3,Household is deprived in two dimensions,472
E02006876,Leeds 112,4,Household is deprived in three dimensions,162
E02006876,Leeds 112,5,Household is deprived in four dimensions,9
